Year,Country,Country Url,Region Code,Region,Rank Per Region,Overall Rank,Happiness Score,Happiness Status,GDP per capita,Family,Social Support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,alpha-2,alpha-3
2019,Belarus,https://upload.wikimedia.org/wikipedia/commons/8/85/Flag_of_Belarus.svg,150,EUROPE,Europe,81,5.3230,Amber,1.0670,0.0000,1.4650,0.7890,0.2350,0.0940,0.1420,BY,BLR
2019,Greece,https://upload.wikimedia.org/wikipedia/commons/5/5c/Flag_of_Greece.svg,150,EUROPE,Europe,82,5.2870,Amber,1.1810,0.0000,1.1560,0.9990,0.0670,0.0000,0.0340,GR,GRC
2019,Mongolia,https://upload.wikimedia.org/wikipedia/commons/4/4c/Flag_of_Mongolia.svg,142,ASIA,Asia,83,5.2850,Amber,0.9480,0.0000,1.5310,0.6670,0.3170,0.2350,0.0380,MN,MNG
2019,Nigeria,https://upload.wikimedia.org/wikipedia/commons/7/79/Flag_of_Nigeria.svg,2,AFRICA,Africa,85,5.2650,Amber,0.6960,0.0000,1.1110,0.2450,0.4260,0.2150,0.0410,NG,NGA
2019,Kyrgyzstan,https://upload.wikimedia.org/wikipedia/commons/c/c7/Flag_of_Kyrgyzstan.svg,142,ASIA,Asia,86,5.2610,Amber,0.5510,0.0000,1.4380,0.7230,0.5080,0.3000,0.0230,KG,KGZ
2019,Turkmenistan,https://upload.wikimedia.org/wikipedia/commons/1/1b/Flag_of_Turkmenistan.svg,142,ASIA,Asia,87,5.2470,Amber,1.0520,0.0000,1.5380,0.6570,0.3940,0.2440,0.0280,TM,TKM
2019,Algeria,https://upload.wikimedia.org/wikipedia/commons/7/77/Flag_of_Algeria.svg,2,AFRICA,Africa,88,5.2110,Amber,1.0020,0.0000,1.1600,0.7850,0.0860,0.0730,0.1140,DZ,DZA
2019,Azerbaijan,https://upload.wikimedia.org/wikipedia/commons/d/dd/Flag_of_Azerbaijan.svg,142,ASIA,Asia,89,5.2080,Amber,1.0430,0.0000,1.1470,0.7690,0.3510,0.0350,0.1820,AZ,AZE
2019,Morocco,https://upload.wikimedia.org/wikipedia/commons/2/2c/Flag_of_Morocco.svg,2,AFRICA,Africa,89,5.2080,Amber,0.8010,0.0000,0.7820,0.7820,0.4180,0.0360,0.0760,MA,MAR
2019,Lebanon,https://upload.wikimedia.org/wikipedia/commons/5/59/Flag_of_Lebanon.svg,142,ASIA,Asia,91,5.1970,Amber,0.9870,0.0000,1.2240,0.8150,0.2160,0.1660,0.0270,LB,LBN
2019,Indonesia,https://upload.wikimedia.org/wikipedia/commons/9/9f/Flag_of_Indonesia.svg,142,ASIA,Asia,92,5.1920,Amber,0.9310,0.0000,1.2030,0.6600,0.4910,0.4980,0.0280,ID,IDN
2019,China,https://upload.wikimedia.org/wikipedia/commons/f/fa/Flag_of_the_People%27s_Republic_of_China.svg,142,ASIA,Asia,93,5.1910,Amber,1.0290,0.0000,1.1250,0.8930,0.5210,0.0580,0.1000,CN,CHN
2019,Vietnam,https://upload.wikimedia.org/wikipedia/commons/2/21/Flag_of_Vietnam.svg,142,ASIA,Asia,94,5.1750,Amber,0.7410,0.0000,1.3460,0.8510,0.5430,0.1470,0.0730,VN,VNM
